model,variant,pre_total,pre_correct,pre_accuracy,post_total,post_correct,post_accuracy,decay_pre_minus_post,errors
gpt-3.5-turbo,original,148,132,89.1891891891892,52,45,86.53846153846153,2.65072765072766,0
gpt-3.5-turbo,transformed,148,129,87.16216216216216,52,45,86.53846153846153,0.6237006237006284,0
gpt-4,original,148,141,95.27027027027027,52,49,94.23076923076923,1.0395010395010473,0
gpt-4,transformed,148,141,95.27027027027027,52,51,98.07692307692308,-2.8066528066528065,0
gpt-4-turbo,original,148,143,96.62162162162163,52,52,100.0,-3.378378378378372,0
gpt-4-turbo,transformed,148,144,97.29729729729729,52,52,100.0,-2.702702702702709,0
gpt-4.1-mini,original,148,143,96.62162162162163,52,49,94.23076923076923,2.3908523908524018,0
gpt-4.1-mini,transformed,148,141,95.27027027027027,52,49,94.23076923076923,1.0395010395010473,0
gpt-4o,original,148,145,97.97297297297297,52,50,96.15384615384616,1.819126819126808,0
gpt-4o,transformed,148,145,97.97297297297297,52,50,96.15384615384616,1.819126819126808,0
gpt-4o-mini,original,148,145,97.97297297297297,52,47,90.38461538461539,7.588357588357582,0
gpt-4o-mini,transformed,148,144,97.29729729729729,52,48,92.3076923076923,4.9896049896049846,0
o4-mini,original,0,0,,0,0,,,200
o4-mini,transformed,0,0,,0,0,,,200
